Datetime,Open Interest
2024-02-20T00:00:00Z,123597168.50479789
2024-02-19T00:00:00Z,127009695.73508796
2024-02-18T00:00:00Z,129548007.6541355
2024-02-17T00:00:00Z,131001513.11977556
2024-02-16T00:00:00Z,129072899.57359217
2024-02-15T00:00:00Z,132709076.26779196
2024-02-14T00:00:00Z,128637761.65990385
2024-02-13T00:00:00Z,118250819.96017179
2024-02-12T00:00:00Z,119396049.65909742
2024-02-11T00:00:00Z,120110952.25105625
2024-02-10T00:00:00Z,113299959.6157968
2024-02-09T00:00:00Z,112133789.49425876
2024-02-08T00:00:00Z,109859690.49188274
2024-02-07T00:00:00Z,110119015.56561999
2024-02-06T00:00:00Z,118894384.83508398
2024-02-05T00:00:00Z,120642218.91741997
2024-02-04T00:00:00Z,117078608.14870869
2024-02-03T00:00:00Z,113482521.07973237
2024-02-02T00:00:00Z,115916217.70541385
2024-02-01T00:00:00Z,112108559.15989989
2024-01-31T00:00:00Z,111275771.32757561
2024-01-30T00:00:00Z,112350985.69984818
2024-01-29T00:00:00Z,112331790.9480657
2024-01-28T00:00:00Z,111084464.22299822
2024-01-27T00:00:00Z,113303570.54229824
2024-01-26T00:00:00Z,108343413.84888697
2024-01-25T00:00:00Z,105505643.68838587
2024-01-24T00:00:00Z,106773667.21733314
2024-01-23T00:00:00Z,111225101.05046949
2024-01-22T00:00:00Z,116619494.87819588
2024-01-21T00:00:00Z,119760390.88789931
2024-01-20T00:00:00Z,122139291.27597609
2024-01-19T00:00:00Z,122046874.40998524
2024-01-18T00:00:00Z,124439392.81053914
2024-01-17T00:00:00Z,123523009.67305568
2024-01-16T00:00:00Z,122072504.0100175
2024-01-15T00:00:00Z,121049321.0249027
2024-01-14T00:00:00Z,121786691.95217118
2024-01-13T00:00:00Z,122304046.80008642
2024-01-12T00:00:00Z,118382777.54024893
2024-01-11T00:00:00Z,118750731.19704576
2024-01-10T00:00:00Z,110073034.92491102
2024-01-09T00:00:00Z,111270818.7993662
2024-01-08T00:00:00Z,117941105.40660849
2024-01-07T00:00:00Z,116737812.5670808
2024-01-06T00:00:00Z,123308147.79490209
2024-01-05T00:00:00Z,121530519.93803576
2024-01-04T00:00:00Z,122033838.77113596
2024-01-03T00:00:00Z,111423728.93706861
2024-01-02T00:00:00Z,134204586.1599119
