Datetime,Open Interest
2022-11-30T00:00:00Z,387724814.2134
2022-11-29T00:00:00Z,387724814.2134
2022-11-28T00:00:00Z,387724814.2134
2022-11-27T00:00:00Z,387724814.2134
2022-11-26T00:00:00Z,387724814.2134
2022-11-25T00:00:00Z,387724814.2134
2022-11-24T00:00:00Z,387724814.2134
2022-11-23T00:00:00Z,387724814.2134
2022-11-22T00:00:00Z,387724814.2134
2022-11-21T00:00:00Z,387724814.2134
2022-11-20T00:00:00Z,387724814.2134
2022-11-19T00:00:00Z,387724814.2134
2022-11-18T00:00:00Z,387724814.2134
2022-11-17T00:00:00Z,387724814.2134
2022-11-16T00:00:00Z,387724814.2134
2022-11-15T00:00:00Z,387724814.2134
2022-11-14T00:00:00Z,387724814.2134
2022-11-13T00:00:00Z,387724814.2134
2022-11-12T00:00:00Z,387724814.2134
2022-11-11T00:00:00Z,391993729.5456
2022-11-10T00:00:00Z,535171112.1688
2022-11-09T00:00:00Z,562021468.5831
2022-11-08T00:00:00Z,570512830.8138
2022-11-07T00:00:00Z,958606654.3617
2022-11-06T00:00:00Z,1282853431.188
2022-11-05T00:00:00Z,1396551854.1369
2022-11-04T00:00:00Z,1347388648.734
2022-11-03T00:00:00Z,1134017010.6272
2022-11-02T00:00:00Z,1114585486.236
2022-11-01T00:00:00Z,1206648054.8941
2022-10-31T00:00:00Z,1174440843.5306
2022-10-30T00:00:00Z,1188806464.0609999
2022-10-29T00:00:00Z,1256523069.2283
2022-10-28T00:00:00Z,1233818829.0595999
2022-10-27T00:00:00Z,1198165200.4152
2022-10-26T00:00:00Z,1465955161.938
2022-10-25T00:00:00Z,1568582553.2975
2022-10-24T00:00:00Z,1577122772.6772
2022-10-23T00:00:00Z,1647683262.0214
2022-10-22T00:00:00Z,1585003476.0228
2022-10-21T00:00:00Z,1604166544.2095
2022-10-20T00:00:00Z,1576381231.376
2022-10-19T00:00:00Z,1606333877.8223999
2022-10-18T00:00:00Z,1616128844.3343
2022-10-17T00:00:00Z,1638967236.9213
2022-10-16T00:00:00Z,1565980200.432
2022-10-15T00:00:00Z,1576613393.73
2022-10-14T00:00:00Z,1556889587.2526
2022-10-13T00:00:00Z,1704934620.7110002
2022-10-12T00:00:00Z,1626262424.1699998
2022-10-11T00:00:00Z,1702364200.3392
2022-10-10T00:00:00Z,1627645016.928
2022-10-09T00:00:00Z,1556446591.5049999
2022-10-08T00:00:00Z,1515438037.8486998
2022-10-07T00:00:00Z,1494897709.3490002
2022-10-06T00:00:00Z,1481560477.5658
2022-10-05T00:00:00Z,1501310011.9875002
2022-10-04T00:00:00Z,1508571056.1548998
2022-10-03T00:00:00Z,1338710094.7440002
2022-10-02T00:00:00Z,1232908045.07
2022-10-01T00:00:00Z,1249150774.6845
2022-09-30T00:00:00Z,1224133269.4431
2022-09-29T00:00:00Z,1282026719.5760999
2022-09-28T00:00:00Z,1309623812.0128
2022-09-27T00:00:00Z,1219565515.2342
2022-09-26T00:00:00Z,1267362021.5275
2022-09-25T00:00:00Z,1132883847.1392
2022-09-24T00:00:00Z,1166951212.1
2022-09-23T00:00:00Z,1181881894.7885
2022-09-22T00:00:00Z,1136065953.979
2022-09-21T00:00:00Z,1035568192.8816
2022-09-20T00:00:00Z,1076121567.5079
2022-09-19T00:00:00Z,1096393967.0992
2022-09-18T00:00:00Z,1040398049.262
2022-09-17T00:00:00Z,1070020578.4432
2022-09-16T00:00:00Z,1028588685.3772
2022-09-15T00:00:00Z,1039105484.0595
2022-09-14T00:00:00Z,1141648411.62
2022-09-13T00:00:00Z,1186427333.6272
2022-09-12T00:00:00Z,1460024255.5158
2022-09-11T00:00:00Z,1436458874.5674999
2022-09-10T00:00:00Z,1405974371.8500001
2022-09-09T00:00:00Z,1358733561.6402001
2022-09-08T00:00:00Z,1134532484.1058002
2022-09-07T00:00:00Z,1164200259.9906
2022-09-06T00:00:00Z,1134704157.162
2022-09-05T00:00:00Z,1216164133.8067
2022-09-04T00:00:00Z,1210160862
2022-09-03T00:00:00Z,1218146936.9148
2022-09-02T00:00:00Z,1215575106.3209999
2022-09-01T00:00:00Z,1208776461.8306
2022-08-31T00:00:00Z,1196974740.834
2022-08-30T00:00:00Z,1255431943.6912
2022-08-29T00:00:00Z,1273233222.0416
2022-08-28T00:00:00Z,1252386234.6204
2022-08-27T00:00:00Z,1260122507.1045
2022-08-26T00:00:00Z,1201916872.761
2022-08-25T00:00:00Z,1276050938.316
2022-08-24T00:00:00Z,1281071928.1888
